Paper ID	PaperTitle	AuthorNames
386	On the Strategyproofness of the Geometric Median	"El-Mhamdi, El-Mahdi; Farhadkhani, Sadegh*; Guerraoui, Rachid; Hoang, Lê-Nguyên"
393	Covariate-informed Representation Learning to Prevent Posterior Collapse of iVAE	"Kim, Young-geun; Liu, Ying*; Wei, Xue-Xin"
395	EGG-GAE: scalable graph neural networks for tabular data imputation	"Telyatnikov, Lev*; Scardapane, Simone"
398	Group Distributionally Robust Reinforcement Learning with Hierarchical Latent Variables	"Xu, Mengdi*; Huang, Peide; Niu, Yaru; Kumar, Visak; Qiu, Jielin; Fang, Chao; Lee, Kuan-Hui; Qi, Xuewei ; Lam, Henry; Li, Bo; ZHAO, DING"
400	Weather2K: A Multivariate Spatio-Temporal Benchmark Dataset for Meteorological Forecasting Based on Real-Time Observation Data from Ground Weather Stations	"Zhu, Xun*; Xiong, Yutong; Wu, Ming; Nie, Gaozhen; Zhang, Bin; Yang, Ziheng"
401	Improved Rate of First Order Algorithms for Entropic Optimal Transport	"Luo, Yiling*; Xie, Yiling; Huo, Xiaoming"
407	Conformal Off-Policy Prediction	"zhang, yingying; Shi, Chengchun*; Luo, Shikai"
413	Sparse Spectral Bayesian Permanental.Process with Generalized Kernel	"Sellier, Jeremy*; Dellaportas, Petros"
414	Adversarial Noises Are Linearly Separable for （Nearly） Random Neural Networks	"Zhang, Huishuai*; Yu, Da; Lu, Yiping; He, Di"
415	Nearly Optimal Latent State Decoding in Block MDPs	"Jedra, Yassir; Lee, Junghyun*; Proutiere, Alexandre; Yun, Se-Young"
417	" On the Limitations of the Elo, Real-World Games are Transitive, not Additive"	"Bertrand, Quentin*; Czarnecki, Wojciech M; Gidel, Gauthier"
419	Agnostic PAC Learning of k-Juntas Using L2-Polynomial Regression	"Heidari, Mohsen*; Szpankowski, Wojciech"
429	Regularization for Shuffled Data Problems via Exponential Family Priors on the Permutation Group	"Wang, Zhenbang; Ben-David, Emanuel; Slawski, Martin*"
431	Simulation-Based Inference with WALDO: Confidence Regions by Leveraging Prediction Algorithms or Posterior Estimators for Inverse Problems	"Masserano, Luca*; Dorigo, Tommaso; Izbicki, Rafael; Kuusela, Mikael; Lee, Ann"
436	Analysis of Catastrophic Forgetting for Random Orthogonal Transformation Tasks in the Overparameterized Regime	"Goldfarb, Daniel*; Hand, Paul"
441	Clustering above Exponential Families with Tempered Exponential Measures	"Amid, Ehsan; Nock, Richard*; Warmuth, Manfred K."
445	Mind the (optimality) Gap: A Gap-Aware Learning Rate Scheduler for Adversarial Nets	"Hazimeh, Hussein*; Ponomareva, Natalia"
450	Learning Physics-Informed Neural Networks without Stacked Back-propagation	"He, Di; Li, Shanda*; Shi, Wenlei; Gao, Xiaotian; Zhang, Jia; Bian, Jiang; Wang, Liwei; Liu, Tie-Yan"
451	An Optimization-based Algorithm for Non-stationary Kernel Bandits without Prior Knowledge	"Hong, Kihyuk*; Li, Yuhang; Tewari, Ambuj"
452	Multi-armed Bandit Experimental Design: Online Decision-making and Adaptive Inference	"Simchi-Levi, David; Wang, Chonghuan*"
458	Squeeze All: Novel Estimator and Self-Normalized Bound for Linear Contextual Bandits	"Kim, Wonyoung; Paik, Myunghee Cho; Oh, Min-hwan*"
469	Noisy Low-rank Matrix Optimization: Geometry of Local Minima and Convergence Rate	"Ma, Ziye*; Sojoudi, Somayeh"
472	Byzantine-Robust Federated Learning with Optimal Statistical Rates	"Zhu, Banghua*; Wang, Lun; Pang, Qi; Wang, Shuai; Jiao, Jiantao; Song, Dawn; Jordan, Michael"
473	An Unpooling Layer for Graph Generation	"Guo, Yinglong*; Zou, Dongmian; Lerman, Gilad"
478	Online Learning for Traffic Routing under Unknown Preferences	"Jalota, Devansh*; Gopalakrishnan, Karthik; Azizan, Navid; Johari, Ramesh ; Pavone, Marco"
479	Byzantine-Robust Online and Offline Distributed Reinforcement Learning	"Chen, Yiding*; Zhang, Xuezhou; Zhang, Kaiqing; Wang, Mengdi; Zhu, Xiaojin"
480	No-Regret Learning in Two-Echelon Supply Chain with Unknown Demand Distribution	"Zhang, Mengxiao*; Chen, Shi; Luo, Haipeng; Wang, Yingfei"
487	Mode Constrained Model-Based Reinforcement Learning via Gaussian Processes	"Scannell, Aidan*; Ek, Carl Henrik; Richards, Arthur"
494	Generative Oversampling for Imbalanced Data via Majority-Guided VAE	"Ai, Qingzhong; Wang, Pengyun; He, Lirong; Wen, liangjian; Pan, Lujia; Xu, Zenglin*"
498	The Lie-Group Bayesian Learning Rule	"Kiral, Eren Mehmet*; Moellenhoff, Thomas; Emtiyaz, Khan Mohammad"
505	Singular Value Representation: A New Graph Perspective On Neural Networks	"Berkouk, Nicolas*; Meller, Dan"
509	A Finite Sample Complexity Bound for Distributionally Robust Q-learning	"Wang, Shengbo*; Si, Nian; Blanchet, Jose; Zhou, Zhengyuan"
510	Connectivity-contrastive learning: Combining causal discovery and representation learning for multimodal data	"Morioka, Hiroshi*; Hyvarinen, Aapo"
517	A Bregman Divergence View on the Difference-of-Convex Algorithm	"Faust, Oisin*; Fawzi, Hamza; Saunderson, James"
520	Minority Oversampling for Imbalanced Data via Class-Preserving Regularized Auto-Encoders	"Mondal, Arnab K; Singhal, Lakshya; Tiwary, Piyush*; Singla, Parag; A P, Prathosh"
522	T-Phenotype: Discovering Phenotypes of Predictive Temporal Patterns in Disease Progression	"Qin, Yuchao*; van der Schaar, Mihaela; Lee, Changhee"
523	Membership Inference Attacks against Synthetic Data through Overfitting Detection	"van Breugel, Boris*; Sun, Hao; Qian, Zhaozhi; van der Schaar, Mihaela"
525	Online Learning for Non-monotone DR-Submodular Maximization: From Full Information to Bandit Feedback	"Zhang, Qixin*; Deng, Zengde; Chen, Zaiyi; Zhou, Kuangqi; Hu, Haoyuan; Yang, Yu"
528	Robust Variational Autoencoding with Wasserstein Penalty for Novelty Detection	"Lai, Chieh-Hsin*; Zou, Dongmian; Lerman, Gilad"
529	To Impute or not to Impute? Missing Data in Treatment Effect Estimation	"Berrevoets, Jeroen*; Imrie, Fergus; Kyono, Trent M; Jordon, James; van der Schaar, Mihaela"
531	No-regret Sample-efficient Bayesian Optimization for Finding Nash Equilibria with Unknown Utilities	"Tay, Sebastian Shenghong*; Nguyen, Quoc Phong; Foo, Chuan Sheng; Low, Bryan Kian Hsiang"
532	Noise-Aware Statistical Inference with Differentially Private Synthetic Data	"Räisä, Ossi*; Jälkö, Joonas; Kaski, Samuel; Honkela, Antti"
537	ASkewSGD : An Annealed interval-constrained Optimisation method to train Quantized Neural Networks	"Leconte, Louis*; Schechtman, Sholom; Moulines, Eric"
551	Transport Elliptical Slice Sampling	"Cabezas Gonzalez, Alberto *; Nemeth, Christopher"
